"Year","MA"
1990.25,0.108344303797468
1990.5,0.0205443037974684
1990.75,-0.00905569620253165
1991,-0.123355696202532
1991.25,-0.0126556962025316
1991.5,0.0356443037974684
1991.75,-0.187155696202532
1992,0.0822443037974684
1992.25,-0.124255696202532
1992.5,-0.207355696202532
1992.75,0.0347443037974684
1993,-0.0198556962025316
1993.25,-0.0195556962025316
1993.5,0.0302443037974684
1993.75,-0.0428556962025316
1994,-0.0411556962025316
1994.25,0.179344303797468
1994.5,-0.0260556962025316
1994.75,-0.0174556962025316
1995,0.0748443037974684
1995.25,0.133844303797468
1995.5,0.00364430379746835
1995.75,0.0259443037974684
1996,0.0656443037974684
1996.25,-0.0244556962025316
1996.5,-0.138955696202532
1996.75,0.0351443037974684
1997,0.0803443037974684
1997.25,-0.0599556962025316
1997.5,0.0438443037974684
1997.75,0.0224443037974684
1998,0.0207443037974684
1998.25,0.0213443037974684
1998.5,0.0927443037974684
1998.75,-0.240555696202532
1999,0.00414430379746835
1999.25,-0.0542556962025316
1999.5,0.00874430379746835
1999.75,0.0928443037974684
2000,0.00834430379746835
2000.25,0.0650443037974684
2000.5,0.0601443037974684
2000.75,0.0831443037974684
2001,-0.0196556962025316
2001.25,-0.328455696202532
2001.5,0.00364430379746835
2001.75,-0.0484556962025316
2002,-0.00595569620253164
2002.25,-0.0142556962025316
2002.5,-0.0381556962025316
2002.75,-0.00445569620253165
2003,0.0329443037974684
2003.25,0.112144303797468
2003.5,0.0180443037974683
2003.75,-0.00515569620253165
2004,-0.0124556962025316
2004.25,-0.0729556962025316
2004.5,-0.0445556962025316
2004.75,-0.0135556962025316
2005,-0.0333556962025316
2005.25,0.0120443037974684
2005.5,0.0107443037974684
2005.75,-0.0126556962025316
2006,0.0321443037974684
2006.25,0.0382443037974684
2006.5,0.0185443037974684
2006.75,0.0326443037974684
2007,0.0494443037974684
2007.25,0.0273443037974684
2007.5,-0.178555696202532
2007.75,0.0996443037974684
2008,0.0441443037974683
2008.25,-0.0389556962025316
2008.5,0.155044303797468
2008.75,-0.132155696202532
2009,0.138144303797468
2009.25,0.0794443037974683
2009.5,0.0307443037974684
2009.75,-0.0164556962025316
