"Year","GSS"
1990,1.019455
1990.25,2.62768
1990.5,0.581936666666667
1990.75,-1.890966
1991,-2.982306
1991.25,-7.575685
1991.5,-0.39908
1991.75,-6.22575833333333
1992,2.19452
1992.25,-4.76101
1992.5,-0.88089
1992.75,3.79868666666667
1993,0.48639
1993.25,0.0377
1993.5,4.02932333333333
1993.75,2.313135
1994,3.39822
1994.25,9.712335
1994.5,2.71972333333333
1994.75,-2.617015
1995,6.47817
1995.25,2.29474
1995.5,0.705816666666667
1995.75,-1.216425
1996,0.81303
1996.25,2.72589
1996.5,-4.37373666666667
1996.75,2.4254
1997,2.80227
1997.25,-8.2689
1997.5,2.05335666666667
1997.75,1.018845
1998,1.51164
1998.25,0.24933
1998.5,5.42581
1998.75,-6.54825666666667
1999,2.205935
1999.25,-0.03231
1999.5,2.11199
1999.75,3.70773
2000,-0.0415349999999999
2000.25,7.32384
2000.5,0.280245
2000.75,3.89889
2001,-8.64990333333333
2001.25,-28.17634
2001.5,7.605695
2001.75,-3.93165666666667
2002,2.12552
2002.25,3.10215
2002.5,6.42386
2002.75,-7.34637
2003,3.261005
2003.25,10.14298
2003.5,3.688955
2003.75,2.280755
2004,1.418425
2004.25,0.72132
2004.5,3.304805
2004.75,2.3564
