"Year","FF4gb"
1990,-0.0110878666666667
1990.25,0.0073713
1990.5,0.0113636
1990.75,0.00252293333333333
1991,0.0050167
1991.25,-0.000523066666666667
1991.5,0.0182940333333333
1991.75,0.00833346666666666
1992,0.00187306666666667
1992.25,0.00842573333333333
1992.5,-0.0782285666666667
1992.75,0.0282328666666667
1993,7.73333333333309e-06
1993.25,-0.00297576666666667
1993.5,0.0157671
1993.75,-0.0206655666666667
1994,0.00785123333333333
1994.25,0.0126305
1994.5,0.00515513333333333
1994.75,-0.00434076666666667
1995,0.0159895666666667
1995.25,0.0122964
1995.5,-0.0151766
1995.75,0.000365066666666667
1996,-0.00105126666666667
1996.25,-0.00347296666666667
1996.5,-0.0450943
1996.75,0.000453933333333333
1997,0.0183066333333333
1997.25,-0.0175971
1997.5,0.00649813333333333
1997.75,-0.0010004
1998,0.00641363333333333
1998.25,0.00764793333333333
1998.5,0.0358103333333333
1998.75,0.0073187
1999,-0.00239016666666667
1999.25,-0.00772666666666667
1999.5,-0.0003581
1999.75,0.0116801
2000,-0.00256833333333333
2000.25,0.0078218
2000.5,0.00565906666666667
2000.75,0.00678423333333333
2001,-0.0530754333333333
2001.25,0.001267
2001.5,-0.000355566666666667
2001.75,-0.0136120666666667
2002,-0.0222491666666667
2002.25,0.00839616666666667
2002.5,-0.0137935
2002.75,-0.0032799
2003,0.00155943333333333
2003.25,0.0333486333333333
2003.5,6.68e-05
2003.75,0.0117409333333333
2004,-0.00635016666666667
2004.25,-0.0093284
2004.5,0.00770156666666667
2004.75,-0.00620426666666667
2005,0.000276033333333333
2005.25,0.00438233333333333
2005.5,0.0019459
2005.75,-0.0105724
2006,0.0003957
2006.25,0.0178307
2006.5,-0.00243723333333333
2006.75,-0.00119663333333333
2007,-0.0094076
2007.25,-0.0028703
2007.5,-0.0397481333333333
2007.75,0.0439361333333333
